Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
AACG,147230000.0,34430000.0,31740000.0,0.187,0.0,0.003,,0.01,0.05,5960000.0,4.63,-0.0868,145822.0
AACQ,752030000.0,72450000.0,,,,,,,0.16,2380000.0,10.38,-0.0326,2194931.0
AAL,14130000000.0,639680000.0,632660000.0,0.01,0.0,0.518,0.2072,0.1268,1.17,68660000.0,22.17,0.034,48892451.0
AAME,93650000.0,20440000.0,4080000.0,0.027999999999999997,0.0,0.057,0.028999999999999998,0.1036,0.19,2190000.0,4.43,-0.0574,55792.0
AAOI,230070000.0,23640000.0,18060000.0,0.069,-0.0231,0.496,0.0209,0.19140000000000001,4.31,801400.0,8.36,-0.030699999999999998,1040946.0
AAON,3850000000.0,52150000.0,41360000.0,0.183,-0.0003,0.725,-0.0031,0.0707,15.71,186230.0,74.09,-0.0111,142782.0
AAPL,2044590000000.0,16940000000.000002,16780000000.000002,0.0007000000000000001,-0.0509,0.598,,0.0053,0.83,106660000.0,122.06,-0.0245,112183302.0
AAWW,1680000000.0,27400000.0,27140000.0,0.01,-0.4523,,0.052300000000000006,0.1001,5.56,488960.0,57.19,0.011000000000000001,446515.0
AAXJ,,,,,,,,,,1220000.0,95.62,-0.0032,2076111.0
ABCB,3520000000.0,69230000.0,65670000.0,0.012,-0.0163,0.8640000000000001,0.013600000000000001,0.0269,4.39,402640.0,50.16,0.024300000000000002,866532.0
ABCL,9810000000.0,275070000.0,178400000.0,0.23399999999999999,0.0,0.381,,0.0163,2.54,1150000.0,35.67,-0.0613,492832.0
ABCM,5030000000.0,226690000.0,183250000.0,,,0.0137,,0.0005,0.5,167710.0,22.21,-0.031,80143.0
ABEO,221980000.0,93770000.0,84390000.0,0.005,-0.7744,0.344,-0.08960000000000001,0.035,0.69,4300000.0,2.19,-0.07200000000000001,3623924.0
ABGI,132180000.0,13100000.0,,,,,,,,685090.0,10.09,-0.0049,27896.0
ABIO,41460000.0,9320000.0,9280000.0,0.004,2.6016000000000004,0.08900000000000001,0.0447,0.0129,0.12,968700.0,4.27,-0.0553,977069.0
ABMD,13740000000.0,45200000.0,44180000.0,0.009000000000000001,-0.0719,0.972,-0.0014000000000000002,0.028999999999999998,3.81,336100.0,307.6,-0.054400000000000004,297038.0
